Voltage,Current
3.500129E+01,6.690400E-09
3.509249E+01,6.578496E-09
3.519141E+01,6.576947E-09
3.529425E+01,6.604897E-09
3.540166E+01,6.566943E-09
3.549803E+01,6.812057E-09
3.559709E+01,6.633043E-09
3.569696E+01,6.725915E-09
3.580008E+01,6.774693E-09
3.590296E+01,6.465180E-09
3.600191E+01,6.844921E-09
3.610084E+01,6.912616E-09
3.620048E+01,6.951725E-09
3.630316E+01,6.999537E-09
3.640601E+01,7.052486E-09
3.633834E+01,9.283024E-09
3.660572E+01,7.150394E-09
3.670499E+01,7.190343E-09
3.680790E+01,7.261555E-09
3.690971E+01,7.426671E-09
3.701039E+01,7.425430E-09
3.710660E+01,7.523401E-09
3.721044E+01,7.312571E-09
3.731259E+01,7.622569E-09
3.741493E+01,7.614683E-09
3.751435E+01,7.684485E-09
3.761388E+01,7.753716E-09
3.771347E+01,7.823338E-09
3.782828E+01,7.915613E-09
3.793135E+01,7.997264E-09
3.803078E+01,8.078478E-09
3.811652E+01,8.140033E-09
3.821618E+01,8.247944E-09
3.831852E+01,8.383988E-09
3.842051E+01,8.579489E-09
3.852303E+01,8.083834E-09
3.861444E+01,9.423956E-09
3.873537E+01,1.117409E-08
3.883809E+01,1.545385E-08
3.893759E+01,2.429650E-08
3.904042E+01,3.930470E-08
3.913937E+01,5.990555E-08
3.923814E+01,8.373456E-08
3.934376E+01,1.135850E-07
3.944298E+01,1.456682E-07
3.954583E+01,1.825327E-07
3.964532E+01,2.228213E-07
3.974507E+01,2.674243E-07
3.984813E+01,3.181296E-07
3.994811E+01,3.728532E-07
4.005090E+01,4.306446E-07
4.015022E+01,4.977088E-07
4.025326E+01,5.677385E-07
4.035206E+01,6.357751E-07
4.045171E+01,7.047987E-07
4.055426E+01,7.888880E-07
4.065384E+01,8.697985E-07
4.075699E+01,9.573174E-07
4.085930E+01,1.058352E-06
4.095877E+01,1.157529E-06
4.106165E+01,1.250067E-06
4.116087E+01,1.331602E-06
4.126400E+01,1.454166E-06
4.136347E+01,1.584047E-06
4.146323E+01,1.703701E-06
4.156675E+01,1.842269E-06
4.166643E+01,1.963239E-06
4.176950E+01,2.080236E-06
4.186911E+01,2.221385E-06
4.196890E+01,2.384024E-06
4.207110E+01,2.520272E-06
4.217081E+01,2.736152E-06
4.227386E+01,2.815900E-06
4.237348E+01,2.977028E-06
4.247335E+01,3.181014E-06
4.257301E+01,3.333108E-06
4.267580E+01,3.478137E-06
4.277899E+01,3.667385E-06
4.287796E+01,3.922873E-06
4.297759E+01,4.050971E-06
4.307710E+01,4.349792E-06
4.318008E+01,4.509555E-06
4.328380E+01,4.762344E-06
4.338326E+01,4.946998E-06
4.348285E+01,5.183462E-06
4.358243E+01,5.488656E-06
4.368499E+01,5.631263E-06
4.378799E+01,5.995811E-06
4.388774E+01,6.156871E-06
4.398710E+01,6.512556E-06
4.408693E+01,6.636980E-06
4.418987E+01,6.927017E-06
4.429302E+01,7.291031E-06
4.439225E+01,7.555787E-06
4.449204E+01,7.841638E-06
4.459100E+01,8.146932E-06
4.469390E+01,8.469316E-06
4.479687E+01,8.811944E-06
4.489643E+01,9.323468E-06
4.499664E+01,9.533185E-06
