Voltage,Current
3.500092E+01,2.170864E-08
3.510069E+01,2.167193E-08
3.519990E+01,2.177501E-08
3.530300E+01,2.192910E-08
3.540578E+01,2.210618E-08
3.550558E+01,2.229723E-08
3.560560E+01,2.250279E-08
3.570538E+01,2.271845E-08
3.580844E+01,2.296261E-08
3.591122E+01,2.322475E-08
3.601096E+01,2.347419E-08
3.611003E+01,2.374788E-08
3.620984E+01,2.404372E-08
3.631274E+01,2.436569E-08
3.641585E+01,2.471024E-08
3.651600E+01,2.506489E-08
3.661573E+01,2.544530E-08
3.671532E+01,2.584987E-08
3.681837E+01,2.630490E-08
3.692076E+01,2.680029E-08
3.702044E+01,2.730252E-08
3.712003E+01,2.786267E-08
3.721981E+01,2.848787E-08
3.732304E+01,2.919935E-08
3.742591E+01,2.999558E-08
3.752552E+01,3.086652E-08
3.762523E+01,3.187753E-08
3.772523E+01,3.305734E-08
3.782761E+01,3.449948E-08
3.793057E+01,3.630928E-08
3.802996E+01,3.850458E-08
3.812972E+01,4.143667E-08
3.822977E+01,4.558217E-08
3.833256E+01,5.224281E-08
3.843491E+01,6.408293E-08
3.853389E+01,8.857313E-08
3.863568E+01,1.535409E-07
3.873489E+01,3.288621E-07
3.883641E+01,7.757007E-07
3.893816E+01,1.647927E-06
3.904108E+01,2.988773E-06
3.914024E+01,4.674341E-06
3.923921E+01,6.703060E-06
3.934151E+01,9.155831E-06
3.944313E+01,1.192232E-05
3.954590E+01,1.510821E-05
3.964547E+01,1.852666E-05
3.974521E+01,2.228482E-05
3.984824E+01,2.653916E-05
3.994823E+01,3.101167E-05
4.005102E+01,3.597685E-05
4.015037E+01,4.113633E-05
4.025344E+01,4.689657E-05
4.035223E+01,5.272498E-05
4.045184E+01,5.896458E-05
4.055439E+01,6.584353E-05
4.065400E+01,7.285416E-05
4.075718E+01,8.045103E-05
4.085650E+01,8.824392E-05
4.095577E+01,9.652913E-05
4.106158E+01,1.057830E-04
4.116081E+01,1.146982E-04
4.126398E+01,1.245927E-04
4.136345E+01,1.346389E-04
4.146318E+01,1.451752E-04
4.156674E+01,1.564955E-04
4.166642E+01,1.675569E-04
4.176948E+01,1.798947E-04
4.186908E+01,1.922456E-04
4.196886E+01,2.053972E-04
4.207112E+01,2.190660E-04
4.217084E+01,2.332368E-04
4.227380E+01,2.485679E-04
4.237349E+01,2.638703E-04
4.247329E+01,2.797999E-04
4.257287E+01,2.966172E-04
4.267570E+01,3.142105E-04
4.277891E+01,3.328695E-04
4.287791E+01,3.513308E-04
4.297757E+01,3.713057E-04
4.307700E+01,3.921098E-04
4.317990E+01,4.135736E-04
4.328373E+01,4.367395E-04
4.338318E+01,4.600240E-04
4.348275E+01,4.844685E-04
4.358239E+01,5.099809E-04
4.368488E+01,5.368290E-04
4.378791E+01,5.651042E-04
4.388760E+01,5.945227E-04
4.398704E+01,6.241379E-04
4.408660E+01,6.560376E-04
4.418955E+01,6.906027E-04
4.429271E+01,7.262191E-04
4.439193E+01,7.611916E-04
4.449169E+01,8.006819E-04
4.459061E+01,8.415384E-04
4.469349E+01,8.834340E-04
4.479645E+01,9.306603E-04
4.489590E+01,9.781071E-04
4.499602E+01,1.028034E-03
