Voltage,Current
3.500116E+01,1.250059E-07
3.510090E+01,1.253236E-07
3.520016E+01,1.262386E-07
3.530321E+01,1.274628E-07
3.540604E+01,1.288754E-07
3.550583E+01,1.303555E-07
3.560585E+01,1.319530E-07
3.570558E+01,1.331816E-07
3.580872E+01,1.354250E-07
3.591148E+01,1.375915E-07
3.601135E+01,1.396799E-07
3.611041E+01,1.418889E-07
3.621014E+01,1.442619E-07
3.631304E+01,1.469690E-07
3.641612E+01,1.496884E-07
3.651634E+01,1.526129E-07
3.661607E+01,1.557640E-07
3.671564E+01,1.595881E-07
3.681880E+01,1.629330E-07
3.692118E+01,1.670731E-07
3.702079E+01,1.714399E-07
3.712045E+01,1.762812E-07
3.722018E+01,1.816476E-07
3.732349E+01,1.878601E-07
3.742633E+01,1.949213E-07
3.752589E+01,2.027269E-07
3.762559E+01,2.117967E-07
3.772564E+01,2.224447E-07
3.782797E+01,2.355787E-07
3.793091E+01,2.518700E-07
3.803037E+01,2.721098E-07
3.813016E+01,2.986625E-07
3.823011E+01,3.361465E-07
3.833302E+01,3.946867E-07
3.843550E+01,4.952015E-07
3.853473E+01,6.906831E-07
3.863568E+01,1.174788E-06
3.873512E+01,2.491055E-06
3.883687E+01,6.048776E-06
3.893794E+01,1.348615E-05
3.904086E+01,2.571900E-05
3.913998E+01,4.149075E-05
3.923892E+01,6.071940E-05
3.934116E+01,8.413174E-05
3.944296E+01,1.109581E-04
3.954580E+01,1.418485E-04
3.964533E+01,1.754387E-04
3.974510E+01,2.127782E-04
3.984810E+01,2.554043E-04
3.994802E+01,3.006612E-04
4.005090E+01,3.518245E-04
4.015022E+01,4.057020E-04
4.025325E+01,4.665908E-04
4.035209E+01,5.300083E-04
4.045163E+01,5.993373E-04
4.055410E+01,6.767439E-04
4.065368E+01,7.584247E-04
4.075683E+01,8.507730E-04
4.085608E+01,9.472465E-04
4.095869E+01,1.060877E-03
4.106159E+01,1.179682E-03
4.116073E+01,1.305081E-03
4.126392E+01,1.448084E-03
4.136340E+01,1.601774E-03
4.146315E+01,1.772290E-03
4.156662E+01,1.968528E-03
4.166620E+01,2.182624E-03
4.176923E+01,2.430202E-03
4.186874E+01,2.706453E-03
4.196851E+01,3.025657E-03
4.207066E+01,3.402723E-03
4.217028E+01,3.839749E-03
4.227308E+01,4.377811E-03
4.237260E+01,5.030536E-03
4.247226E+01,5.872248E-03
4.257148E+01,6.999105E-03
4.267374E+01,8.642933E-03
4.277961E+01,1.153085E-02
4.287856E+01,1.517383E-02
4.297817E+01,1.897010E-02
4.307764E+01,2.082453E-02
4.318074E+01,2.119116E-02
4.328452E+01,2.131825E-02
4.338401E+01,2.140023E-02
4.348365E+01,2.136239E-02
4.358335E+01,2.149784E-02
4.368592E+01,2.173324E-02
4.378909E+01,2.190230E-02
4.388884E+01,2.227117E-02
4.398835E+01,2.233439E-02
4.408818E+01,2.199568E-02
4.419127E+01,2.131461E-02
4.429456E+01,2.008107E-02
4.439397E+01,1.897924E-02
4.449374E+01,1.934602E-02
4.459283E+01,1.959077E-02
4.469583E+01,2.021805E-02
4.479896E+01,2.020770E-02
4.489862E+01,2.034164E-02
4.499886E+01,2.067997E-02
