Voltage,Current
3.500093E+01,1.231853E-07
3.510067E+01,1.243006E-07
3.519987E+01,1.254286E-07
3.530294E+01,1.271124E-07
3.540583E+01,1.290585E-07
3.550557E+01,1.309429E-07
3.560564E+01,1.324982E-07
3.570542E+01,1.354959E-07
3.580849E+01,1.381713E-07
3.591120E+01,1.410304E-07
3.601102E+01,1.441908E-07
3.611010E+01,1.499214E-07
3.620985E+01,1.506237E-07
3.631275E+01,1.545188E-07
3.641576E+01,1.587531E-07
3.651603E+01,1.632106E-07
3.661572E+01,1.680182E-07
3.671534E+01,1.733224E-07
3.681842E+01,1.793614E-07
3.692084E+01,1.860215E-07
3.702051E+01,1.932514E-07
3.712005E+01,2.014169E-07
3.721985E+01,2.106492E-07
3.732312E+01,2.215520E-07
3.742597E+01,2.342603E-07
3.752556E+01,2.487093E-07
3.762530E+01,2.659248E-07
3.772520E+01,2.868969E-07
3.782751E+01,3.137833E-07
3.793041E+01,3.489648E-07
3.802972E+01,3.946995E-07
3.812936E+01,4.600520E-07
3.822921E+01,5.618227E-07
3.833171E+01,7.472034E-07
3.843648E+01,1.154985E-06
3.853596E+01,2.148592E-06
3.863427E+01,4.809586E-06
3.873508E+01,1.149001E-05
3.883752E+01,2.473107E-05
3.893661E+01,4.408899E-05
3.903910E+01,7.011901E-05
3.913766E+01,1.005355E-04
3.924017E+01,1.379426E-04
3.934310E+01,1.809811E-04
3.944222E+01,2.286422E-04
3.954497E+01,2.847771E-04
3.964444E+01,3.458889E-04
3.974407E+01,4.146968E-04
3.984703E+01,4.946371E-04
3.994689E+01,5.816718E-04
4.004947E+01,6.816883E-04
4.014863E+01,7.903600E-04
4.025148E+01,9.172188E-04
4.035347E+01,1.059360E-03
4.045320E+01,1.216202E-03
4.055587E+01,1.399365E-03
4.065565E+01,1.603028E-03
4.075908E+01,1.840320E-03
4.085859E+01,2.093654E-03
4.095804E+01,2.372869E-03
4.106087E+01,2.688817E-03
4.115990E+01,3.011621E-03
4.126297E+01,3.361217E-03
4.136234E+01,3.697966E-03
4.146208E+01,4.036500E-03
4.156553E+01,4.393693E-03
4.166509E+01,4.721410E-03
4.176807E+01,5.046616E-03
4.186764E+01,5.344462E-03
4.196737E+01,5.632226E-03
4.206957E+01,5.918795E-03
4.216926E+01,6.185859E-03
4.227223E+01,6.457711E-03
4.237186E+01,6.711848E-03
4.247169E+01,6.961636E-03
4.257124E+01,7.202137E-03
4.267403E+01,7.447279E-03
4.277720E+01,7.688461E-03
4.287619E+01,7.910973E-03
4.297582E+01,8.133359E-03
4.307525E+01,8.352614E-03
4.317818E+01,8.582029E-03
4.328189E+01,8.810504E-03
4.338144E+01,9.023008E-03
4.348096E+01,9.235690E-03
4.358060E+01,9.447732E-03
4.368306E+01,9.668939E-03
4.378619E+01,9.891382E-03
4.388587E+01,1.010210E-02
4.398529E+01,1.031723E-02
4.408824E+01,1.069590E-02
4.419129E+01,1.073197E-02
4.429452E+01,1.094972E-02
4.439387E+01,1.115544E-02
4.449373E+01,1.136343E-02
4.459279E+01,1.156921E-02
4.469580E+01,1.178932E-02
4.479892E+01,1.201008E-02
4.489854E+01,1.222066E-02
4.499881E+01,1.243217E-02
