# Asic nr	 half id 	 ToA offset
0	0	270
0	1	10
1	0	270
1	1	528
2	0	10
2	1	10
3	0	780
3	1	780
4	0	528
4	1	528
5	0	270
5	1	528
6	0	10
6	1	10
7	0	528
7	1	528
