# Asic nr	 half id 	 ToA offset
0	0	270
0	1	270
1	0	780
1	1	10
2	0	10
2	1	10
3	0	780
3	1	780
4	0	270
4	1	780
5	0	528
5	1	780
6	0	10
6	1	10
7	0	780
7	1	780
