# t (ns), amplitude (a.U.)
1.2257405515832482, 0.009007164790174002
3.575076608784474, 0.007881269191402251
6.026557711950971, 0.009007164790174002
8.273748723186925, 0.009007164790174002
10.010214504596528, 0.009007164790174002
9.908069458631257, 0.07656090071647902
10.010214504596528, 0.1542476970317298
10.112359550561798, 0.2263050153531218
10.21450459652707, 0.2859774820880246
10.31664964249234, 0.3535312180143296
10.31664964249234, 0.41545547594677584
10.41879468845761, 0.47287615148413514
10.31664964249234, 0.5393039918116684
10.52093973442288, 0.600102354145343
10.725229826353422, 0.6609007164790174
10.725229826353422, 0.6609007164790174
10.725229826353422, 0.7239508700102354
10.827374872318693, 0.7791197543500512
10.827374872318693, 0.843295803480041
10.929519918283964, 0.8962128966223133
10.929519918283964, 0.8962128966223133
11.031664964249234, 0.951381780962129
11.235955056179776, 0.9885363357215967
11.440245148110318, 1.0020470829068577
11.95097037793667, 0.969396110542477
12.257405515832483, 0.9232343909928352
12.359550561797754, 0.8770726714431935
12.563840653728294, 0.8331627430910952
12.665985699693564, 0.789252814738997
12.768130745658835, 0.7464687819856705
12.972420837589377, 0.699181166837257
13.176710929519919, 0.6507676560900717
13.176710929519919, 0.6507676560900717
13.38100102145046, 0.6012282497441147
13.687436159346271, 0.5460593654042989
13.993871297242084, 0.4965199590583419
14.402451481103167, 0.44698055271238485
14.811031664964249, 0.41320368474923236
15.526046986721145, 0.4008188331627431
16.75178753830439, 0.3873080859774821
18.181818181818183, 0.35690890481064486
19.816138917262514, 0.3197543500511771
21.450459652706844, 0.28147389969293757
23.289070480081715, 0.2420675537359263
25.53626149131767, 0.2037871033776868
28.19203268641471, 0.16438075742067554
31.66496424923391, 0.1272262026612078
35.64862104187947, 0.09682702149437053
39.12155260469867, 0.06755373592630502
42.288049029622066, 0.049539406345957014
46.475995914198165, 0.03715455475946776
50.56179775280899, 0.028147389969293758
54.13687436159346, 0.014636642784032754
59.03983656792646, 0.006755373592630502
65.67926455566905, 0.005629477993858751
71.70582226762002, 0.007881269191402251
77.52808988764045, 0.006755373592630502
82.83963227783453, 0.005629477993858751
87.64044943820225, 0.007881269191402251
92.03268641470889, 0.010133060388945753
95.30132788559754, 0.007881269191402251
99.08069458631256, 0.006755373592630502
