# Vov (V), Gain
3.4994797086368368, 288149.6881496882
3.676378772112383, 302494.8024948025
3.837669094693028, 315592.5155925156
3.9989594172736735, 327442.82744282746
4.165452653485952, 341164.24116424116
4.342351716961499, 355509.35550935555
4.503642039542144, 367983.367983368
4.659729448491155, 380457.3804573805
4.8002081165452655, 391683.9916839917
4.919875130072841, 402286.9022869023
5.008324661810613, 409771.3097713098
5.008324661810613, 409771.3097713098
5.154006243496358, 420997.920997921
5.289281997918835, 432224.5322245323
5.45057232049948, 445322.24532224535
5.596253902185223, 457172.5571725572
5.741935483870968, 469646.56964656967
5.882414151925078, 481496.88149688154
6.007284079084288, 491476.09147609153
6.152965660770031, 503326.40332640335
6.283038501560874, 513929.31392931397
6.402705515088449, 524532.2245322246
6.511966701352758, 533887.7338877339
