sumOpt	0
#HGCROC board	HGCROC Ch	layer	assembly	board channel	row	column modNr modX modY
0	0	0	L1	1	1	0	0	0	5	1
0	1	0	L1	2	1	1	0	0	5	1
0	2	0	L1	3	1	2	0	0	5	1
0	3	0	L1	4	1	3	0	0	5	1
0	4	0	L1	5	0	3	0	0	5	1
0	5	0	L1	6	0	2	0	0	5	1
0	6	0	L1	7	0	1	0	0	5	1
0	7	0	L1	8	0	0	0	0	5	1
0	9	0	L1	1	1	0	1	0	5	1
0	11	0	L1	2	1	1	1	0	5	1
0	10	0	L1	3	1	2	1	0	5	1
0	13	0	L1	4	1	3	1	0	5	1
0	12	0	L1	5	0	3	1	0	5	1
0	15	0	L1	6	0	2	1	0	5	1
0	14	0	L1	7	0	1	1	0	5	1
0	16	0	L1	8	0	0	1	0	5	1
0	19	0	L1	1	1	0	2	0	5	1
0	18	0	L1	2	1	1	2	0	5	1
0	21	0	L1	3	1	2	2	0	5	1
0	20	0	L1	4	1	3	1	2	5	1
0	23	0	L1	5	0	3	2	0	5	1
0	22	0	L1	6	0	2	2	0	5	1
0	25	0	L1	7	0	1	2	0	5	1
0	24	0	L1	8	0	0	2	0	5	1
0	27	0	L1	1	1	0	3	0	5	1
0	28	0	L1	2	1	1	3	0	5	1
0	29	0	L3	0	1	2	3	0	5	1
0	30	0	L1	4	1	3	3	0	5	1
0	31	0	L1	5	0	3	3	0	5	1
0	32	0	L1	6	0	2	3	0	5	1
0	33	0	L1	7	0	1	3	0	5	1
0	34	0	L1	8	0	0	3	0	5	1
0	69	0	L2	1	1	0	4	0	5	1
0	70	0	L2	2	1	1	4	0	5	1
0	67	0	L2	3	1	2	4	0	5	1
0	68	0	L2	4	1	3	4	0	5	1
0	65	0	L2	5	0	3	4	0	5	1
0	66	0	L2	6	0	2	4	0	5	1
0	63	0	L2	7	0	1	4	0	5	1
0	64	0	L2	8	0	0	4	0	5	1
0	61	0	L2	1	1	0	5	0	5	1
0	60	0	L2	2	1	1	5	0	5	1
0	59	0	L2	3	1	2	5	0	5	1
0	58	0	L2	4	1	3	5	0	5	1
0	57	0	L2	5	0	3	5	0	5	1
0	56	0	L2	6	0	2	5	0	5	1
0	55	0	L2	7	0	1	5	0	5	1
0	54	0	L2	8	0	0	5	0	5	1
0	52	0	L2	1	1	0	6	0	5	1
0	51	0	L2	2	1	1	6	0	5	1
0	50	0	L2	3	1	2	6	0	5	1
0	49	0	L2	4	1	3	6	0	5	1
0	48	0	L2	5	0	3	6	0	5	1
0	47	0	L2	6	0	2	6	0	5	1
0	46	0	L2	7	0	1	6	0	5	1
0	45	0	L2	8	0	0	6	0	5	1
0	42	0	L2	1	1	0	7	0	5	1
0	43	0	L2	2	1	1	7	0	5	1
0	40	0	L2	3	1	2	7	0	5	1
0	41	0	L2	4	1	3	7	0	5	1
0	38	0	L2	5	0	3	7	0	5	1
0	39	0	L2	6	0	2	7	0	5	1
0	36	0	L2	7	0	1	7	0	5	1
0	37	0	L2	8	0	0	7	0	5	1
