year 2026
month 09
readout HGCROC
facility FoCal-H lab
beam-line lab
detector FoCal-H
Run Number,Beam Species,PDG,Laser Intensity,Bias,V_br,Trigger Delay,Machine gun number,"Position x (0 for left, 1 for right)","Position y (0 for top, 1 for middle, 2 for bottom)",Dead time,Phase,nrKCU,nrASIC,Temperature,RF,CF,CC,CFC,Cd,Notes
221,pedestal,22,0,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,Start of fine scan
222,laser,22,500,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
223,laser,22,480,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
224,laser,22,460,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
225,laser,22,440,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
226,laser,22,420,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
227,laser,22,400,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
228,laser,22,380,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
229,laser,22,360,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
230,laser,22,340,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
231,laser,22,520,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
232,laser,22,540,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
233,laser,22,560,45,38.5,16,15,0,2,1000,7,1,3,24,4,4,3,4,0,300,
